GenreNumber,Title,MoNu,Myrating,Genre,MyGenre,Director Name,RandomWord
2001,Over the Hill to the Poorhouse,1001,34,Crime,hell-rake,Harry F. Millarde,sef
2002,Metropolis,1002,25,Drama,triphylite,Fritz Lang,zef
2003,The Broadway Melody,1003,2,Musical,distancy,Harry Beaumont,zerf
2004,42nd Street,1004,74,Comedy,spinnies,Lloyd Bacon, xrd
2005,Top Hat,1005,99,Comedy,resmethrin,Mark Sandrich,gbc
2006,Modern Times,1006,64,Comedy,angledozer,Charles Chaplin,vd
2007,Snow White and the Seven Dwarfs,1007,3,Animation,ethoxylate,William Cottrell,sef
2008,Gone with the Wind,1008,45,Drama,ursidae,Victor Fleming,zef
2009,The Wizard of Oz,1009,32,Adventure,whippowill,Victor Fleming,zerf
2010,Fantasia,1010,98,Animation,silurid,James Algar, xrd
2011,Pinocchio,1011,18,Animation,bardiche,Norman Ferguson,gbc
2012,Duel in the Sun,1012,24,Drama,logicists,King Vidor,vd
2013,The Best Years of Our Lives,1013,11,Drama,parroter,William Wyler,sef
2014,The Lady from Shanghai,1014,32,Crime,hell-rake,Orson Welles,zef
2015,The Pirate,1015,88,Adventure,triphylite,Vincente Minnelli,zerf
2016,Annie Get Your Gun,1016,45,Biography,distancy,George Sidney, xrd
2017,The Greatest Show on Earth,1017,30,Drama,spinnies,Cecil B. DeMille,gbc
2018,"The Beast from 20,000 Fathoms",1018,3,Adventure,resmethrin,Eug̬ne Louri̩,vd
2019,The Robe,1019,2,Drama,angledozer,Henry Koster,sef
2020,On the Waterfront,1020,5,Crime,ethoxylate,Elia Kazan,zef
2021,Seven Samurai,1021,81,Action,ursidae,Akira Kurosawa,zerf
2022,The Bridge on the River Kwai,1022,44,Adventure,whippowill,David Lean, xrd
2023,Some Like It Hot,1023,14,Comedy,silurid,Billy Wilder,gbc
2024,Psycho,1024,81,Horror,bardiche,Alfred Hitchcock,vd
2025,West Side Story,1025,37,Crime,logicists,Jerome Robbins,sef
2026,Dr. No,1026,77,Action,parroter,Terence Young,zef
2027,Lawrence of Arabia,1027,84,Adventure,hell-rake,David Lean,zerf
2028,Cleopatra,1028,92,Biography,triphylite,Joseph L. Mankiewicz, xrd
2029,From Russia with Love,1029,85,Action,distancy,Terence Young,gbc
2030,"It's a Mad, Mad, Mad, Mad World",1030,11,Action,spinnies,Stanley Kramer,vd
2031,A Fistful of Dollars,1031,88,Action,resmethrin,Sergio Leone,sef
2032,A Hard Day's Night,1032,89,Comedy,angledozer,Richard Lester,zef
2033,Goldfinger,1033,56,Action,ethoxylate,Guy Hamilton,zerf
2034,Mary Poppins,1034,78,Comedy,ursidae,Robert Stevenson, xrd
2035,My Fair Lady,1035,56,Drama,whippowill,George Cukor,gbc
2036,Nothing But a Man,1036,67,Drama,silurid,Michael Roemer,vd
2037,Doctor Zhivago,1037,95,Drama,bardiche,David Lean,sef
2038,Major Dundee,1038,47,Adventure,logicists,Sam Peckinpah,zef
2039,The Greatest Story Ever Told,1039,4,Biography,parroter,George Stevens,zerf
2040,The Sound of Music,1040,81,Biography,hell-rake,Robert Wise, xrd
2041,Thunderball,1041,93,Action,triphylite,Terence Young,gbc
2042,"The Good, the Bad and the Ugly",1042,81,Western,distancy,Sergio Leone,vd
2043,You Only Live Twice,1043,14,Action,spinnies,Lewis Gilbert,sef
2044,2001: A Space Odyssey,1044,93,Adventure,resmethrin,Stanley Kubrick,zef
2045,Oliver!,1045,95,Drama,angledozer,Carol Reed,zerf
2046,Butch Cassidy and the Sundance Kid,1046,43,Biography,ethoxylate,George Roy Hill, xrd
2047,Mississippi Mermaid,1047,82,Crime,ursidae,Fran̤ois Truffaut,gbc
2048,On Her Majesty's Secret Service,1048,1,Action,whippowill,Peter R. Hunt,vd
2049,Beyond the Valley of the Dolls,1049,37,Comedy,silurid,Russ Meyer,sef
2050,Darling Lili,1050,52,Comedy,bardiche,Blake Edwards,zef
2051,Tora! Tora! Tora!,1051,92,Action,logicists,Richard Fleischer,zerf
2052,Woodstock,1052,43,Documentary,parroter,Michael Wadleigh, xrd
2053,Diamonds Are Forever,1053,12,Action,hell-rake,Guy Hamilton,gbc
2054,Fiddler on the Roof,1054,14,Drama,triphylite,Norman Jewison,vd
2055,Pink Narcissus,1055,41,Drama,distancy,James Bidgood,sef
2056,Sweet Sweetback's Baadasssss Song,1056,90,Crime,spinnies,Melvin Van Peebles,zef
2057,Pink Flamingos,1057,56,Comedy,resmethrin,John Waters,zerf
2058,The Godfather,1058,37,Crime,angledozer,Francis Ford Coppola, xrd
2059,American Graffiti,1059,41,Comedy,ethoxylate,George Lucas,gbc
2060,Live and Let Die,1060,63,Action,ursidae,Guy Hamilton,vd
2061,Mean Streets,1061,32,Crime,whippowill,Martin Scorsese,sef
2062,The Exorcist,1062,7,Horror,silurid,William Friedkin,zef
2063,The Sting,1063,46,Comedy,bardiche,George Roy Hill,zerf
2064,Benji,1064,29,Adventure,logicists,Joe Camp, xrd
2065,Blazing Saddles,1065,34,Comedy,parroter,Mel Brooks,gbc
2066,The Godfather: Part II,1066,39,Crime,hell-rake,Francis Ford Coppola,vd
2067,The Man with the Golden Gun,1067,65,Action,triphylite,Guy Hamilton,sef
2068,The Texas Chain Saw Massacre,1068,28,Horror,distancy,Tobe Hooper,zef
2069,Young Frankenstein,1069,82,Comedy,spinnies,Mel Brooks,zerf
2070,Jaws,1070,39,Adventure,resmethrin,Steven Spielberg, xrd
2071,Monty Python and the Holy Grail,1071,29,Adventure,angledozer,Terry Gilliam,gbc
2072,One Flew Over the Cuckoo's Nest,1072,51,Drama,ethoxylate,Milos Forman,vd
2073,Logan's Run,1073,74,Action,ursidae,Michael Anderson,sef
2074,Rocky,1074,32,Drama,whippowill,John G. Avildsen,zef
2075,A Bridge Too Far,1075,23,Drama,silurid,Richard Attenborough,zerf
2076,Annie Hall,1076,97,Comedy,bardiche,Woody Allen, xrd
2077,Close Encounters of the Third Kind,1077,6,Drama,logicists,Steven Spielberg,gbc
2078,Kingdom of the Spiders,1078,98,Horror,parroter,John 'Bud' Cardos,vd
2079,March or Die,1079,64,Adventure,hell-rake,Dick Richards,sef
2080,Star Wars: Episode IV - A New Hope,1080,43,Action,triphylite,George Lucas,zef
2081,The Spy Who Loved Me,1081,56,Action,distancy,Lewis Gilbert,zerf
2082,Animal House,1082,37,Comedy,spinnies,John Landis, xrd
2083,Caravans,1083,54,Action,resmethrin,James Fargo,gbc
2084,Grease,1084,60,Musical,angledozer,Randal Kleiser,vd
2085,Halloween,1085,70,Horror,ethoxylate,John Carpenter,sef
2086,Jaws 2,1086,86,Adventure,ursidae,Jeannot Szwarc,zef
2087,Superman,1087,49,Action,whippowill,Richard Donner,zerf
2088,The Wiz,1088,74,Adventure,silurid,Sidney Lumet, xrd
2089,Alien,1089,19,Horror,bardiche,Ridley Scott,gbc
2090,Apocalypse Now,1090,64,Drama,logicists,Francis Ford Coppola,vd
2091,Escape from Alcatraz,1091,82,Biography,parroter,Don Siegel,sef
