MovieNumber,Title,Myrating,Genre,MyGenre,Director Name
1001,Over the Hill to the Poorhouse,34,Crime,hell-rake,Harry F. Millarde
1002,Metropolis,25,Drama,triphylite,Fritz Lang
1003,The Broadway Melody,2,Musical,distancy,Harry Beaumont
1004,42nd Street,74,Comedy,spinnies,Lloyd Bacon
1005,Top Hat,99,Comedy,resmethrin,Mark Sandrich
1006,Modern Times,64,Comedy,angledozer,Charles Chaplin
1007,Snow White and the Seven Dwarfs,3,Animation,ethoxylate,William Cottrell
1008,Gone with the Wind,45,Drama,ursidae,Victor Fleming
1009,The Wizard of Oz,32,Adventure,whippowill,Victor Fleming
1010,Fantasia,98,Animation,silurid,James Algar
1011,Pinocchio,18,Animation,bardiche,Norman Ferguson
1012,Duel in the Sun,24,Drama,logicists,King Vidor
1013,The Best Years of Our Lives,11,Drama,parroter,William Wyler
1014,The Lady from Shanghai,32,Crime,hell-rake,Orson Welles
1015,The Pirate,88,Adventure,triphylite,Vincente Minnelli
1016,Annie Get Your Gun,45,Biography,distancy,George Sidney
1017,The Greatest Show on Earth,30,Drama,spinnies,Cecil B. DeMille
1018,"The Beast from 20,000 Fathoms",3,Adventure,resmethrin,Eug̬ne Louri̩
1019,The Robe,2,Drama,angledozer,Henry Koster
1020,On the Waterfront,5,Crime,ethoxylate,Elia Kazan
1021,Seven Samurai,81,Action,ursidae,Akira Kurosawa
1022,The Bridge on the River Kwai,44,Adventure,whippowill,David Lean
1023,Some Like It Hot,14,Comedy,silurid,Billy Wilder
1024,Psycho,81,Horror,bardiche,Alfred Hitchcock
1025,West Side Story,37,Crime,logicists,Jerome Robbins
1026,Dr. No,77,Action,parroter,Terence Young
1027,Lawrence of Arabia,84,Adventure,hell-rake,David Lean
1028,Cleopatra,92,Biography,triphylite,Joseph L. Mankiewicz
1029,From Russia with Love,85,Action,distancy,Terence Young
1030,"It's a Mad, Mad, Mad, Mad World",11,Action,spinnies,Stanley Kramer
1031,A Fistful of Dollars,88,Action,resmethrin,Sergio Leone
1032,A Hard Day's Night,89,Comedy,angledozer,Richard Lester
1033,Goldfinger,56,Action,ethoxylate,Guy Hamilton
1034,Mary Poppins,78,Comedy,ursidae,Robert Stevenson
1035,My Fair Lady,56,Drama,whippowill,George Cukor
1036,Nothing But a Man,67,Drama,silurid,Michael Roemer
